id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
23,0.8560366630554199,TCP,tcp,0x0010,4,40,54,54,3.132881742013791e-08,99,99,432.0,432.0,0,0,0.328447000,0.328447000,0.995261000,0.995261000,16387,4,4,16387,0.328447000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
24,0.38837552070617676,MDNS,mdns,-,0,61,75,75,4.351224640476105e-08,1,1,600.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
25,0.40288686752319336,MDNS,mdns,-,0,62,76,76,4.40924096901339e-08,1,1,608.0,608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
26,0.3483462333679199,MDNS,mdns,-,0,62,76,76,4.409240966436076e-08,1,1,608.0,608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
27,0.636328935623169,MDNS,mdns,-,0,61,75,75,4.351224637927884e-08,1,1,600.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
28,1.3844752311706543,TLS,tls,0x0018,5,272,286,286,1.6592669936117267e-07,128,128,2288.0,2288.0,0,0,0.004926000,0.004926000,4.004427000,4.004427000,510,5,5,510,0.004926000,False,True,143,143,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
29,1.418144702911377,TCP,tcp,0x0010,5,40,54,54,3.132881735734069e-08,232,232,432.0,432.0,0,0,0.250830000,0.250830000,4.255257000,4.255257000,771,5,5,771,0.250830000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
30,1.5811004638671875,MDNS,mdns,-,0,62,76,76,4.409240961257645e-08,1,1,608.0,608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
31,1.6362111568450928,MDNS,mdns,-,0,61,75,75,4.351224632784362e-08,1,1,600.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
32,1.7988395690917969,TCP,tcp,0x0010,9,40,54,54,3.1328817353855584e-08,49,49,432.0,432.0,0,0,0.146461000,0.146461000,0.146461000,0.146461000,10,9,9,10,0.146461000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
33,1.404374122619629,TCP,tcp,0x0010,10,52,66,66,3.829077675398997e-08,231,231,528.0,528.0,0,0,0.613022000,0.613022000,0.613022000,0.613022000,418,10,10,418,0.613022000,False,True,33,33,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
34,1.469233751296997,TCP,tcp,0x0010,11,52,66,66,3.829077675398997e-08,49,49,528.0,528.0,0,0,0.493880000,0.493880000,0.493880000,0.493880000,8,11,11,8,0.493880000,False,True,33,33,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
35,1.546546220779419,TCP,tcp,0x0010,9,40,54,54,3.132881734323539e-08,128,128,432.0,432.0,0,0,0.051619000,0.051619000,0.730764000,0.730764000,507,9,9,507,0.051619000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
36,0.6042196750640869,TCP,tcp,0x0010,12,52,66,66,3.82907767256728e-08,50,50,528.0,528.0,0,0,0.152779000,0.152779000,0.152779000,0.152779000,279,12,12,279,0.152779000,False,True,33,33,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
37,0.569796085357666,TCP,tcp,0x0010,13,52,66,66,3.8290776723415017e-08,113,113,528.0,528.0,0,0,0.135071000,0.135071000,0.135071000,0.135071000,289,13,13,289,0.135071000,False,True,33,33,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
38,0.5927634239196777,TCP,tcp,0x0010,6,40,54,54,3.132881731552063e-08,49,49,432.0,432.0,0,0,0.183312000,0.183312000,6.554316000,6.554316000,9,6,6,9,0.183312000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
39,0.5961289405822754,TCP,tcp,0x0010,8,40,54,54,3.132881731477508e-08,44,44,432.0,432.0,0,0,0.226569000,0.226569000,6.548530000,6.548530000,9,8,8,9,0.226569000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
40,0.5469646453857422,TCP,tcp,0x0010,0,40,54,54,3.13288173131049e-08,36,36,432.0,432.0,0,0,0.320722000,0.320722000,8.116037000,8.116037000,9,0,0,9,0.320722000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
41,0.5876302719116211,TCP,tcp,0x0010,1,40,54,54,3.132881731310179e-08,41,41,432.0,432.0,0,0,0.323023000,0.323023000,7.928096000,7.928096000,23,1,1,23,0.323023000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
42,0.4071359634399414,TCP,tcp,0x0010,5,40,54,54,3.1328817288525925e-08,128,128,432.0,432.0,0,0,0.042189000,0.042189000,8.041316000,8.041316000,510,5,5,510,0.042189000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
43,0.31315040588378906,MDNS,mdns,-,0,62,76,76,4.409240950991076e-08,1,1,608.0,608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
